country,yvalue,xvalue,radiusvalue
Kuwait,121,0.4,0.100172
Norway,22,49.3,0.005619
Finland,8,8,0.003568
Netherlands,25,51.4,0.003382
United Kingdom,84,7.1,0.00295
Luxembourg,1,10.4,0.002582
Denmark,6,127.9,0.002
United States,354,1.5,0.00197
Qatar,3,0.6,0.001765
Germany,56,50.8,0.001656
Sweden,8,350.6,0.001645
Australia,18,1.3,0.001481
Canada,19,2,0.001242
Saudi Arabia,8,0.1,0.00119
Switzerland,7,62.2,0.001069
Czech Republic,2,2.2,0.000981
Ireland,2,3.8,0.000822
Japan,31,0,0.000762
Belgium,3,23.2,0.000723
U.A.E,2,0.3,0.000651
France,14,4.5,0.000572
Estonia,0,0.5,0.000494
Austria,2,32.2,0.00042
Spain,5,2.9,0.000391
Malta,0,250.1,0.000282
Hungary,0,3.4,0.000219
Poland,1,0.6,0.000209
Latvia,0,2.6,0.000204
Italy,2,1.9,0.000125
Lithuania,0,0.7,0.000106
Russia,1,1.3,0.00006
Cyprus,0,124.5,0.000057
Portugal,0,0.1,0.000042
Slovakia,0,0.7,0.000039
Romania,0,6.6,0.000028
Philippines,0,0,0.000003